# week, sectorid, diam_T, e1_T, e2_T, e3_T, e4_T, cc_T, diam, e1, e2, e3, e4, cc 
89.0000,6102.0000,19.0000,6.7619,6.7471,6.6940,6.8619,0.0000,11.0000,5.9989,5.0285,5.1803,4.9100,0.6578
1.0000,7601.0000,21.0000,8.1439,7.9604,6.8741,6.7808,0.0000,10.0000,5.5385,5.0237,4.8827,5.3022,0.6382
2.0000,7601.0000,19.0000,6.9785,6.9822,6.8713,6.9638,0.0000,9.0000,5.3297,5.8102,5.5530,5.4731,0.6430
3.0000,7601.0000,17.0000,6.8637,8.2211,6.8570,7.0565,0.0000,9.0000,5.0624,5.3108,4.9589,5.3494,0.6360
4.0000,7601.0000,18.0000,6.8708,6.9655,7.0316,6.9490,0.0000,10.0000,4.7966,5.0247,4.9528,4.6601,0.6249
5.0000,7601.0000,16.0000,7.7600,7.6119,6.9865,7.2709,0.0000,9.0000,4.9788,4.8587,4.8092,4.9861,0.6033
6.0000,7601.0000,17.0000,7.2436,8.4496,6.9052,8.0978,0.0000,9.0000,4.7091,4.7512,4.8123,5.1035,0.6216
7.0000,7601.0000,18.0000,8.3528,6.9176,6.8895,8.4556,0.0000,8.0000,5.2257,4.9237,4.7174,4.8369,0.6343
8.0000,7601.0000,15.0000,6.8637,6.8898,6.9074,6.9991,0.0000,8.0000,4.9109,4.6676,4.8257,4.8474,0.6377
9.0000,7601.0000,17.0000,6.7685,8.1731,7.5392,6.8144,0.0000,9.0000,4.9388,4.9701,4.9587,5.0049,0.6506
10.0000,7601.0000,17.0000,6.7963,6.8787,7.8558,6.8802,0.0000,9.0000,4.6020,4.9007,4.6776,4.8418,0.6435
11.0000,7601.0000,15.0000,8.0379,6.9050,7.3576,7.8857,0.0000,11.0000,4.7308,4.6702,4.6326,4.8523,0.6475
12.0000,7601.0000,20.0000,6.9753,6.9486,6.9539,6.8932,0.0000,11.0000,4.7350,5.2814,5.0749,5.6827,0.6536
13.0000,7601.0000,17.0000,7.2657,8.3576,6.9091,7.8672,0.0000,8.0000,4.9427,4.8922,4.9247,4.7750,0.6487
14.0000,7601.0000,16.0000,6.9924,7.6703,6.8717,8.2970,0.0000,9.0000,4.8056,4.9426,5.0485,4.9394,0.6605
15.0000,7601.0000,14.0000,6.8133,6.7934,8.2851,6.9227,0.0000,7.0000,4.9917,4.5744,5.1882,4.9393,0.6576
16.0000,7601.0000,16.0000,6.8224,6.9896,6.9431,7.4003,0.0000,8.0000,4.9729,4.8594,4.9359,4.8167,0.6562
17.0000,7601.0000,20.0000,7.9293,6.9447,7.5514,7.4165,0.0000,10.0000,4.9197,5.0822,4.8225,4.7241,0.6592
18.0000,7601.0000,16.0000,6.9611,8.0267,7.3797,7.4524,0.0000,8.0000,4.8586,4.8789,5.1264,4.8373,0.6637
19.0000,7601.0000,18.0000,6.9861,6.8638,6.8822,6.9494,0.0000,8.0000,4.6131,4.6903,4.8454,4.7441,0.6609
20.0000,7601.0000,16.0000,6.8385,7.8817,6.9443,8.0745,0.0000,7.0000,4.6700,4.6148,4.5931,4.5461,0.6614
21.0000,7601.0000,15.0000,6.9373,8.1984,8.5610,7.7901,0.0000,10.0000,5.1479,4.9776,5.2582,4.8552,0.6612
22.0000,7601.0000,17.0000,6.9537,7.6120,7.0209,8.4409,0.0000,9.0000,5.1034,5.4405,5.1591,5.6072,0.6507
23.0000,7601.0000,16.0000,7.7640,6.9549,6.9405,6.9231,0.0000,8.0000,4.9504,4.9943,4.8778,5.1304,0.6555
24.0000,7601.0000,15.0000,7.1873,6.9091,6.9316,8.4330,0.0000,10.0000,5.0240,4.9612,4.9638,5.1026,0.6577
25.0000,7601.0000,19.0000,6.9960,8.2435,6.9294,7.2949,0.0000,11.0000,4.8124,4.8836,4.9399,4.8674,0.6636
26.0000,7601.0000,18.0000,8.4665,6.9242,7.3192,7.9302,0.0000,9.0000,5.2162,4.9383,4.8751,5.0879,0.6569
27.0000,7601.0000,14.0000,6.9602,6.9480,8.3134,8.4226,0.0000,8.0000,4.9395,4.9220,5.1419,5.1885,0.6507
28.0000,7601.0000,16.0000,6.9472,6.9917,6.8772,6.8995,0.0000,8.0000,4.6951,4.6214,4.8420,4.6372,0.6622
29.0000,7601.0000,17.0000,8.3986,8.0917,6.9710,7.5817,0.0000,8.0000,4.8848,4.9493,5.2302,4.9305,0.6619
30.0000,7601.0000,19.0000,8.7516,7.3091,7.1117,7.6822,0.0000,9.0000,4.9623,5.1756,5.0362,4.9763,0.6558
31.0000,7601.0000,19.0000,7.4962,8.6535,8.6338,7.1312,0.0000,10.0000,4.9318,5.4937,4.8638,5.3853,0.6495
32.0000,7601.0000,16.0000,6.9718,6.9355,8.3955,6.9809,0.0000,9.0000,4.8863,4.7808,4.8973,4.8645,0.6463
33.0000,7601.0000,21.0000,8.0881,7.7345,7.1043,6.9676,0.0000,9.0000,5.7557,5.0723,5.3283,5.6435,0.6500
34.0000,7601.0000,17.0000,8.2973,8.3747,8.2119,8.4905,0.0000,10.0000,5.1135,5.1374,5.2415,5.4168,0.6465
35.0000,7601.0000,18.0000,8.5758,7.3546,8.0466,8.2081,0.0000,8.0000,4.9397,4.8594,5.0352,5.0787,0.6530
36.0000,7601.0000,22.0000,6.9931,6.9992,8.0420,7.5109,0.0000,12.0000,5.9008,5.3319,5.7992,5.7943,0.6534
37.0000,7601.0000,19.0000,6.9986,6.9999,8.0625,6.9739,0.0000,9.0000,5.0798,5.2307,4.9596,5.2785,0.6545
38.0000,7601.0000,16.0000,8.2189,7.7732,6.9889,7.5620,0.0000,10.0000,4.9651,5.3015,4.9699,5.6153,0.6506
39.0000,7601.0000,20.0000,7.7929,7.9796,7.9396,8.0153,0.0000,10.0000,5.4460,5.4862,5.2658,5.1656,0.6384
40.0000,7601.0000,16.0000,7.0738,7.9652,6.9556,8.4556,0.0000,11.0000,4.8853,4.8450,4.9047,5.1275,0.6545
41.0000,7601.0000,18.0000,6.9951,7.8034,6.9890,8.4168,0.0000,8.0000,4.8975,5.1636,4.9630,4.9604,0.6563
42.0000,7601.0000,19.0000,7.4047,8.4690,7.2494,7.2784,0.0000,10.0000,4.8717,4.9039,4.8136,4.9242,0.6468
43.0000,7601.0000,16.0000,6.9898,6.9762,8.1057,7.6657,0.0000,9.0000,4.9852,5.1232,4.8240,4.8173,0.6561
44.0000,7601.0000,16.0000,8.1231,6.9793,6.9274,6.9118,0.0000,9.0000,4.8005,5.3641,5.1440,5.0211,0.6581
45.0000,7601.0000,17.0000,8.0970,6.9996,8.0304,6.9977,0.0000,9.0000,4.9824,4.8711,4.8036,5.0968,0.6441
46.0000,7601.0000,14.0000,7.8932,7.3209,7.8316,7.7002,0.0000,9.0000,5.3233,4.8071,5.2872,4.9917,0.6492
